sample_id,age,gender,race,image_path,gender_mapped,age_bin,skin_tone,subgroup
fairface_0004245,6,0,2,data\raw\images\fairface_0004245.jpg,Male,60+,Dark,Male_60+_Dark
fairface_0005409,5,0,4,data\raw\images\fairface_0005409.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0004141,3,0,0,data\raw\images\fairface_0004141.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0006712,2,0,1,data\raw\images\fairface_0006712.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0008667,5,1,3,data\raw\images\fairface_0008667.jpg,Female,40-59,Light,Female_40-59_Light
fairface_0002560,5,0,2,data\raw\images\fairface_0002560.jpg,Male,40-59,Dark,Male_40-59_Dark
fairface_0004564,4,1,5,data\raw\images\fairface_0004564.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0001039,8,1,6,data\raw\images\fairface_0001039.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0008382,5,0,3,data\raw\images\fairface_0008382.jpg,Male,40-59,Light,Male_40-59_Light
fairface_0003972,3,1,0,data\raw\images\fairface_0003972.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0009378,4,0,6,data\raw\images\fairface_0009378.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0003134,5,1,1,data\raw\images\fairface_0003134.jpg,Female,40-59,Medium,Female_40-59_Medium
fairface_0002178,3,1,3,data\raw\images\fairface_0002178.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0006285,2,1,6,data\raw\images\fairface_0006285.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0004041,3,0,1,data\raw\images\fairface_0004041.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0000554,4,0,4,data\raw\images\fairface_0000554.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0000748,3,0,6,data\raw\images\fairface_0000748.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0007944,4,1,2,data\raw\images\fairface_0007944.jpg,Female,20-39,Dark,Female_20-39_Dark
fairface_0001796,4,0,5,data\raw\images\fairface_0001796.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0001366,5,0,1,data\raw\images\fairface_0001366.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0006908,4,0,3,data\raw\images\fairface_0006908.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0009653,3,0,6,data\raw\images\fairface_0009653.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0007649,5,0,1,data\raw\images\fairface_0007649.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0005718,3,0,3,data\raw\images\fairface_0005718.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0003587,3,1,6,data\raw\images\fairface_0003587.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0001355,1,1,5,data\raw\images\fairface_0001355.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0007563,2,0,0,data\raw\images\fairface_0007563.jpg,Male,0-19,Light,Male_0-19_Light
fairface_0005754,6,1,0,data\raw\images\fairface_0005754.jpg,Female,60+,Light,Female_60+_Light
fairface_0003784,4,0,5,data\raw\images\fairface_0003784.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0002495,6,1,0,data\raw\images\fairface_0002495.jpg,Female,60+,Light,Female_60+_Light
fairface_0009976,3,1,2,data\raw\images\fairface_0009976.jpg,Female,20-39,Dark,Female_20-39_Dark
fairface_0003319,3,1,1,data\raw\images\fairface_0003319.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0003762,4,0,1,data\raw\images\fairface_0003762.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0005447,3,1,2,data\raw\images\fairface_0005447.jpg,Female,20-39,Dark,Female_20-39_Dark
fairface_0006145,4,1,6,data\raw\images\fairface_0006145.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0004546,1,0,0,data\raw\images\fairface_0004546.jpg,Male,0-19,Light,Male_0-19_Light
fairface_0007518,3,1,3,data\raw\images\fairface_0007518.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0004997,2,1,0,data\raw\images\fairface_0004997.jpg,Female,0-19,Light,Female_0-19_Light
fairface_0006836,4,0,0,data\raw\images\fairface_0006836.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0002545,3,0,6,data\raw\images\fairface_0002545.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0007682,6,0,3,data\raw\images\fairface_0007682.jpg,Male,60+,Light,Male_60+_Light
fairface_0002710,3,0,0,data\raw\images\fairface_0002710.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0003252,4,0,3,data\raw\images\fairface_0003252.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0008467,3,1,3,data\raw\images\fairface_0008467.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0005920,2,0,0,data\raw\images\fairface_0005920.jpg,Male,0-19,Light,Male_0-19_Light
fairface_0002942,4,0,6,data\raw\images\fairface_0002942.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0004459,3,1,4,data\raw\images\fairface_0004459.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0006043,3,1,3,data\raw\images\fairface_0006043.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0009309,2,1,2,data\raw\images\fairface_0009309.jpg,Female,0-19,Dark,Female_0-19_Dark
fairface_0008753,3,0,2,data\raw\images\fairface_0008753.jpg,Male,20-39,Dark,Male_20-39_Dark
fairface_0006570,4,0,3,data\raw\images\fairface_0006570.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0004158,3,1,1,data\raw\images\fairface_0004158.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0001847,3,0,3,data\raw\images\fairface_0001847.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0006023,1,1,2,data\raw\images\fairface_0006023.jpg,Female,0-19,Dark,Female_0-19_Dark
fairface_0001008,5,1,0,data\raw\images\fairface_0001008.jpg,Female,40-59,Light,Female_40-59_Light
fairface_0008026,3,1,3,data\raw\images\fairface_0008026.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0002503,2,0,2,data\raw\images\fairface_0002503.jpg,Male,0-19,Dark,Male_0-19_Dark
fairface_0004892,3,1,6,data\raw\images\fairface_0004892.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0002603,1,0,6,data\raw\images\fairface_0002603.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0003059,3,1,1,data\raw\images\fairface_0003059.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0003687,4,0,2,data\raw\images\fairface_0003687.jpg,Male,20-39,Dark,Male_20-39_Dark
fairface_0000424,5,1,1,data\raw\images\fairface_0000424.jpg,Female,40-59,Medium,Female_40-59_Medium
fairface_0009096,7,0,3,data\raw\images\fairface_0009096.jpg,Male,60+,Light,Male_60+_Light
fairface_0007994,3,1,6,data\raw\images\fairface_0007994.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0003136,4,0,1,data\raw\images\fairface_0003136.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0007975,4,1,3,data\raw\images\fairface_0007975.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0003605,3,0,3,data\raw\images\fairface_0003605.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0009696,7,0,6,data\raw\images\fairface_0009696.jpg,Male,60+,Medium,Male_60+_Medium
fairface_0008885,3,1,1,data\raw\images\fairface_0008885.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0001625,3,0,6,data\raw\images\fairface_0001625.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0008261,2,1,2,data\raw\images\fairface_0008261.jpg,Female,0-19,Dark,Female_0-19_Dark
fairface_0003499,7,1,2,data\raw\images\fairface_0003499.jpg,Female,60+,Dark,Female_60+_Dark
fairface_0003566,3,0,6,data\raw\images\fairface_0003566.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0007307,5,1,3,data\raw\images\fairface_0007307.jpg,Female,40-59,Light,Female_40-59_Light
fairface_0002953,6,0,3,data\raw\images\fairface_0002953.jpg,Male,60+,Light,Male_60+_Light
fairface_0005490,3,0,0,data\raw\images\fairface_0005490.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0005966,4,0,6,data\raw\images\fairface_0005966.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0001409,3,0,6,data\raw\images\fairface_0001409.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0004311,4,0,1,data\raw\images\fairface_0004311.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0004111,6,0,0,data\raw\images\fairface_0004111.jpg,Male,60+,Light,Male_60+_Light
fairface_0000420,2,0,5,data\raw\images\fairface_0000420.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0001383,4,0,0,data\raw\images\fairface_0001383.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0009403,3,1,2,data\raw\images\fairface_0009403.jpg,Female,20-39,Dark,Female_20-39_Dark
fairface_0000740,6,0,3,data\raw\images\fairface_0000740.jpg,Male,60+,Light,Male_60+_Light
fairface_0005479,5,0,5,data\raw\images\fairface_0005479.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0007540,3,0,0,data\raw\images\fairface_0007540.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0001798,5,1,5,data\raw\images\fairface_0001798.jpg,Female,40-59,Medium,Female_40-59_Medium
fairface_0007167,4,0,1,data\raw\images\fairface_0007167.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0002212,4,1,2,data\raw\images\fairface_0002212.jpg,Female,20-39,Dark,Female_20-39_Dark
fairface_0002263,4,1,6,data\raw\images\fairface_0002263.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0007525,3,1,3,data\raw\images\fairface_0007525.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0003002,4,1,0,data\raw\images\fairface_0003002.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0003999,4,1,5,data\raw\images\fairface_0003999.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0001396,5,1,1,data\raw\images\fairface_0001396.jpg,Female,40-59,Medium,Female_40-59_Medium
fairface_0004310,3,0,1,data\raw\images\fairface_0004310.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0000921,1,1,0,data\raw\images\fairface_0000921.jpg,Female,0-19,Light,Female_0-19_Light
fairface_0003866,4,1,5,data\raw\images\fairface_0003866.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0003849,6,1,0,data\raw\images\fairface_0003849.jpg,Female,60+,Light,Female_60+_Light
fairface_0006532,3,1,4,data\raw\images\fairface_0006532.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0009969,4,1,3,data\raw\images\fairface_0009969.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0005495,1,1,1,data\raw\images\fairface_0005495.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0005773,2,1,0,data\raw\images\fairface_0005773.jpg,Female,0-19,Light,Female_0-19_Light
fairface_0004681,2,1,0,data\raw\images\fairface_0004681.jpg,Female,0-19,Light,Female_0-19_Light
fairface_0009926,4,1,5,data\raw\images\fairface_0009926.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0000329,1,0,1,data\raw\images\fairface_0000329.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0000088,2,0,1,data\raw\images\fairface_0000088.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0004085,1,1,3,data\raw\images\fairface_0004085.jpg,Female,0-19,Light,Female_0-19_Light
fairface_0001143,4,0,0,data\raw\images\fairface_0001143.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0008593,1,1,2,data\raw\images\fairface_0008593.jpg,Female,0-19,Dark,Female_0-19_Dark
fairface_0000746,3,1,0,data\raw\images\fairface_0000746.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0003586,2,1,1,data\raw\images\fairface_0003586.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0002903,3,0,3,data\raw\images\fairface_0002903.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0004695,2,0,4,data\raw\images\fairface_0004695.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0005136,4,0,6,data\raw\images\fairface_0005136.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0001460,3,0,3,data\raw\images\fairface_0001460.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0009533,1,0,6,data\raw\images\fairface_0009533.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0006649,2,0,5,data\raw\images\fairface_0006649.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0009666,1,1,2,data\raw\images\fairface_0009666.jpg,Female,0-19,Dark,Female_0-19_Dark
fairface_0001986,2,1,1,data\raw\images\fairface_0001986.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0008240,4,1,2,data\raw\images\fairface_0008240.jpg,Female,20-39,Dark,Female_20-39_Dark
fairface_0003033,2,0,0,data\raw\images\fairface_0003033.jpg,Male,0-19,Light,Male_0-19_Light
fairface_0002797,3,1,0,data\raw\images\fairface_0002797.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0001791,1,1,6,data\raw\images\fairface_0001791.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0000636,1,1,0,data\raw\images\fairface_0000636.jpg,Female,0-19,Light,Female_0-19_Light
fairface_0006956,4,1,3,data\raw\images\fairface_0006956.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0005461,4,1,2,data\raw\images\fairface_0005461.jpg,Female,20-39,Dark,Female_20-39_Dark
fairface_0003543,2,0,1,data\raw\images\fairface_0003543.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0003323,2,0,1,data\raw\images\fairface_0003323.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0003724,3,1,0,data\raw\images\fairface_0003724.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0004400,4,1,6,data\raw\images\fairface_0004400.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0006631,2,0,5,data\raw\images\fairface_0006631.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0006658,3,0,3,data\raw\images\fairface_0006658.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0006188,7,1,1,data\raw\images\fairface_0006188.jpg,Female,60+,Medium,Female_60+_Medium
fairface_0001249,0,0,0,data\raw\images\fairface_0001249.jpg,Male,0-19,Light,Male_0-19_Light
fairface_0003756,3,1,1,data\raw\images\fairface_0003756.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0007224,3,0,3,data\raw\images\fairface_0007224.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0007690,1,0,6,data\raw\images\fairface_0007690.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0006691,2,1,5,data\raw\images\fairface_0006691.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0004190,2,1,3,data\raw\images\fairface_0004190.jpg,Female,0-19,Light,Female_0-19_Light
fairface_0001762,3,1,5,data\raw\images\fairface_0001762.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0003460,2,0,6,data\raw\images\fairface_0003460.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0009726,6,0,2,data\raw\images\fairface_0009726.jpg,Male,60+,Dark,Male_60+_Dark
fairface_0006526,3,0,3,data\raw\images\fairface_0006526.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0008365,1,0,6,data\raw\images\fairface_0008365.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0006516,1,1,5,data\raw\images\fairface_0006516.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0008014,6,0,0,data\raw\images\fairface_0008014.jpg,Male,60+,Light,Male_60+_Light
fairface_0000954,5,0,5,data\raw\images\fairface_0000954.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0000152,1,0,4,data\raw\images\fairface_0000152.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0001361,2,0,0,data\raw\images\fairface_0001361.jpg,Male,0-19,Light,Male_0-19_Light
fairface_0000821,2,1,2,data\raw\images\fairface_0000821.jpg,Female,0-19,Dark,Female_0-19_Dark
fairface_0001073,4,0,3,data\raw\images\fairface_0001073.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0007696,1,1,1,data\raw\images\fairface_0007696.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0009652,3,0,0,data\raw\images\fairface_0009652.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0008263,3,1,3,data\raw\images\fairface_0008263.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0000766,4,1,0,data\raw\images\fairface_0000766.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0009056,7,1,3,data\raw\images\fairface_0009056.jpg,Female,60+,Light,Female_60+_Light
fairface_0006050,5,0,4,data\raw\images\fairface_0006050.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0000932,5,1,3,data\raw\images\fairface_0000932.jpg,Female,40-59,Light,Female_40-59_Light
fairface_0009475,7,1,1,data\raw\images\fairface_0009475.jpg,Female,60+,Medium,Female_60+_Medium
fairface_0004954,1,1,1,data\raw\images\fairface_0004954.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0002320,2,1,6,data\raw\images\fairface_0002320.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0004915,3,1,5,data\raw\images\fairface_0004915.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0006722,3,1,3,data\raw\images\fairface_0006722.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0007909,2,0,1,data\raw\images\fairface_0007909.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0003865,5,0,3,data\raw\images\fairface_0003865.jpg,Male,40-59,Light,Male_40-59_Light
fairface_0007194,3,1,6,data\raw\images\fairface_0007194.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0005729,3,0,1,data\raw\images\fairface_0005729.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0002012,3,0,0,data\raw\images\fairface_0002012.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0007427,2,1,1,data\raw\images\fairface_0007427.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0007753,5,0,2,data\raw\images\fairface_0007753.jpg,Male,40-59,Dark,Male_40-59_Dark
fairface_0001896,5,0,6,data\raw\images\fairface_0001896.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0001122,3,0,4,data\raw\images\fairface_0001122.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0008076,3,0,1,data\raw\images\fairface_0008076.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0002993,3,0,1,data\raw\images\fairface_0002993.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0009167,1,0,4,data\raw\images\fairface_0009167.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0006977,3,1,0,data\raw\images\fairface_0006977.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0000081,3,0,5,data\raw\images\fairface_0000081.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0003025,2,0,3,data\raw\images\fairface_0003025.jpg,Male,0-19,Light,Male_0-19_Light
fairface_0008519,2,0,1,data\raw\images\fairface_0008519.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0006304,7,0,1,data\raw\images\fairface_0006304.jpg,Male,60+,Medium,Male_60+_Medium
fairface_0009769,8,0,0,data\raw\images\fairface_0009769.jpg,Male,0-19,Light,Male_0-19_Light
fairface_0003574,4,0,2,data\raw\images\fairface_0003574.jpg,Male,20-39,Dark,Male_20-39_Dark
fairface_0005633,3,0,2,data\raw\images\fairface_0005633.jpg,Male,20-39,Dark,Male_20-39_Dark
fairface_0008191,3,1,5,data\raw\images\fairface_0008191.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0003135,3,1,0,data\raw\images\fairface_0003135.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0002130,7,0,5,data\raw\images\fairface_0002130.jpg,Male,60+,Medium,Male_60+_Medium
fairface_0003122,4,1,2,data\raw\images\fairface_0003122.jpg,Female,20-39,Dark,Female_20-39_Dark
fairface_0005023,5,0,5,data\raw\images\fairface_0005023.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0007238,3,0,6,data\raw\images\fairface_0007238.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0005709,3,1,5,data\raw\images\fairface_0005709.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0007191,3,1,6,data\raw\images\fairface_0007191.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0002331,3,1,0,data\raw\images\fairface_0002331.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0009551,2,1,3,data\raw\images\fairface_0009551.jpg,Female,0-19,Light,Female_0-19_Light
fairface_0003570,1,1,5,data\raw\images\fairface_0003570.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0008685,4,1,0,data\raw\images\fairface_0008685.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0004277,7,0,6,data\raw\images\fairface_0004277.jpg,Male,60+,Medium,Male_60+_Medium
fairface_0007102,7,0,5,data\raw\images\fairface_0007102.jpg,Male,60+,Medium,Male_60+_Medium
fairface_0008559,4,1,1,data\raw\images\fairface_0008559.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0009773,5,1,5,data\raw\images\fairface_0009773.jpg,Female,40-59,Medium,Female_40-59_Medium
fairface_0003785,4,0,3,data\raw\images\fairface_0003785.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0009268,5,0,0,data\raw\images\fairface_0009268.jpg,Male,40-59,Light,Male_40-59_Light
fairface_0003214,2,1,5,data\raw\images\fairface_0003214.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0008162,1,0,2,data\raw\images\fairface_0008162.jpg,Male,0-19,Dark,Male_0-19_Dark
fairface_0000296,3,1,6,data\raw\images\fairface_0000296.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0006846,1,1,6,data\raw\images\fairface_0006846.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0007539,5,0,4,data\raw\images\fairface_0007539.jpg,Male,40-59,Medium,Male_40-59_Medium
fairface_0001203,3,0,3,data\raw\images\fairface_0001203.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0000337,3,0,3,data\raw\images\fairface_0000337.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0007741,5,0,3,data\raw\images\fairface_0007741.jpg,Male,40-59,Light,Male_40-59_Light
fairface_0008143,5,0,3,data\raw\images\fairface_0008143.jpg,Male,40-59,Light,Male_40-59_Light
fairface_0003525,7,1,6,data\raw\images\fairface_0003525.jpg,Female,60+,Medium,Female_60+_Medium
fairface_0005267,6,0,1,data\raw\images\fairface_0005267.jpg,Male,60+,Medium,Male_60+_Medium
fairface_0009182,5,1,5,data\raw\images\fairface_0009182.jpg,Female,40-59,Medium,Female_40-59_Medium
fairface_0007831,4,0,4,data\raw\images\fairface_0007831.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0006247,3,0,6,data\raw\images\fairface_0006247.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0000192,8,1,6,data\raw\images\fairface_0000192.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0007017,5,0,3,data\raw\images\fairface_0007017.jpg,Male,40-59,Light,Male_40-59_Light
fairface_0005896,3,0,1,data\raw\images\fairface_0005896.jpg,Male,20-39,Medium,Male_20-39_Medium
fairface_0009098,2,0,0,data\raw\images\fairface_0009098.jpg,Male,0-19,Light,Male_0-19_Light
fairface_0009381,2,1,2,data\raw\images\fairface_0009381.jpg,Female,0-19,Dark,Female_0-19_Dark
fairface_0009405,2,0,2,data\raw\images\fairface_0009405.jpg,Male,0-19,Dark,Male_0-19_Dark
fairface_0005004,6,1,2,data\raw\images\fairface_0005004.jpg,Female,60+,Dark,Female_60+_Dark
fairface_0008871,3,1,6,data\raw\images\fairface_0008871.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0002956,2,1,5,data\raw\images\fairface_0002956.jpg,Female,0-19,Medium,Female_0-19_Medium
fairface_0001483,3,1,5,data\raw\images\fairface_0001483.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0009248,1,1,3,data\raw\images\fairface_0009248.jpg,Female,0-19,Light,Female_0-19_Light
fairface_0004056,7,0,1,data\raw\images\fairface_0004056.jpg,Male,60+,Medium,Male_60+_Medium
fairface_0004953,2,0,2,data\raw\images\fairface_0004953.jpg,Male,0-19,Dark,Male_0-19_Dark
fairface_0003506,1,0,2,data\raw\images\fairface_0003506.jpg,Male,0-19,Dark,Male_0-19_Dark
fairface_0008758,4,0,0,data\raw\images\fairface_0008758.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0009168,2,0,5,data\raw\images\fairface_0009168.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0004479,5,1,3,data\raw\images\fairface_0004479.jpg,Female,40-59,Light,Female_40-59_Light
fairface_0005304,4,1,3,data\raw\images\fairface_0005304.jpg,Female,20-39,Light,Female_20-39_Light
fairface_0003953,3,0,0,data\raw\images\fairface_0003953.jpg,Male,20-39,Light,Male_20-39_Light
fairface_0003200,2,1,2,data\raw\images\fairface_0003200.jpg,Female,0-19,Dark,Female_0-19_Dark
fairface_0006385,6,0,1,data\raw\images\fairface_0006385.jpg,Male,60+,Medium,Male_60+_Medium
fairface_0003861,3,1,6,data\raw\images\fairface_0003861.jpg,Female,20-39,Medium,Female_20-39_Medium
fairface_0004043,2,0,1,data\raw\images\fairface_0004043.jpg,Male,0-19,Medium,Male_0-19_Medium
fairface_0002841,4,0,6,data\raw\images\fairface_0002841.jpg,Male,20-39,Medium,Male_20-39_Medium
