image_a,image_b,label,subgroup,synthetic_identity_a,synthetic_identity_b,split
data\raw\images\fairface_0008921.jpg,data\raw\images\fairface_0009160.jpg,1,Male_0-19_Medium,audit_identity_0223,audit_identity_0223,audit
data\raw\images\fairface_0005347.jpg,data\raw\images\fairface_0005479.jpg,1,Male_40-59_Medium,audit_identity_0346,audit_identity_0346,audit
data\raw\images\fairface_0009277.jpg,data\raw\images\fairface_0009303.jpg,1,Female_20-39_Medium,audit_identity_0142,audit_identity_0142,audit
data\raw\images\fairface_0004041.jpg,data\raw\images\fairface_0004142.jpg,1,Male_20-39_Medium,audit_identity_0293,audit_identity_0293,audit
data\raw\images\fairface_0002857.jpg,data\raw\images\fairface_0003273.jpg,1,Female_20-39_Dark,audit_identity_0052,audit_identity_0052,audit
data\raw\images\fairface_0007381.jpg,data\raw\images\fairface_0007742.jpg,1,Female_60+_Medium,audit_identity_0174,audit_identity_0174,audit
data\raw\images\fairface_0009167.jpg,data\raw\images\fairface_0009185.jpg,1,Male_0-19_Medium,audit_identity_0224,audit_identity_0224,audit
data\raw\images\fairface_0002353.jpg,data\raw\images\fairface_0002389.jpg,1,Female_20-39_Medium,audit_identity_0108,audit_identity_0108,audit
data\raw\images\fairface_0005712.jpg,data\raw\images\fairface_0005985.jpg,1,Female_0-19_Medium,audit_identity_0037,audit_identity_0037,audit
data\raw\images\fairface_0005148.jpg,data\raw\images\fairface_0005273.jpg,1,Female_20-39_Medium,audit_identity_0122,audit_identity_0122,audit
data\raw\images\fairface_0001378.jpg,data\raw\images\fairface_0001464.jpg,1,Male_0-19_Medium,audit_identity_0205,audit_identity_0205,audit
data\raw\images\fairface_0008005.jpg,data\raw\images\fairface_0008076.jpg,1,Male_20-39_Medium,audit_identity_0312,audit_identity_0312,audit
data\raw\images\fairface_0000976.jpg,data\raw\images\fairface_0001277.jpg,1,Male_0-19_Medium,audit_identity_0204,audit_identity_0204,audit
data\raw\images\fairface_0009094.jpg,data\raw\images\fairface_0009560.jpg,1,Male_40-59_Medium,audit_identity_0352,audit_identity_0352,audit
data\raw\images\fairface_0007983.jpg,data\raw\images\fairface_0008234.jpg,1,Male_20-39_Light,audit_identity_0265,audit_identity_0265,audit
data\raw\images\fairface_0003757.jpg,data\raw\images\fairface_0003829.jpg,1,Female_20-39_Light,audit_identity_0075,audit_identity_0075,audit
data\raw\images\fairface_0005461.jpg,data\raw\images\fairface_0005723.jpg,1,Female_20-39_Dark,audit_identity_0055,audit_identity_0055,audit
data\raw\images\fairface_0003184.jpg,data\raw\images\fairface_0003284.jpg,1,Male_40-59_Medium,audit_identity_0341,audit_identity_0341,audit
data\raw\images\fairface_0008941.jpg,data\raw\images\fairface_0008964.jpg,1,Male_0-19_Light,audit_identity_0198,audit_identity_0198,audit
data\raw\images\fairface_0007902.jpg,data\raw\images\fairface_0008201.jpg,1,Female_0-19_Medium,audit_identity_0042,audit_identity_0042,audit
data\raw\images\fairface_0007568.jpg,data\raw\images\fairface_0009933.jpg,1,Female_40-59_Dark,audit_identity_0147,audit_identity_0147,audit
data\raw\images\fairface_0003354.jpg,data\raw\images\fairface_0003470.jpg,1,Female_40-59_Dark,audit_identity_0146,audit_identity_0146,audit
data\raw\images\fairface_0002251.jpg,data\raw\images\fairface_0002603.jpg,1,Male_0-19_Medium,audit_identity_0207,audit_identity_0207,audit
data\raw\images\fairface_0006708.jpg,data\raw\images\fairface_0006746.jpg,1,Female_20-39_Light,audit_identity_0085,audit_identity_0085,audit
data\raw\images\fairface_0009157.jpg,data\raw\images\fairface_0009626.jpg,1,Male_60+_Medium,audit_identity_0377,audit_identity_0377,audit
data\raw\images\fairface_0000167.jpg,data\raw\images\fairface_0000189.jpg,1,Female_20-39_Dark,audit_identity_0048,audit_identity_0048,audit
data\raw\images\fairface_0008014.jpg,data\raw\images\fairface_0008089.jpg,1,Male_60+_Light,audit_identity_0362,audit_identity_0362,audit
data\raw\images\fairface_0009431.jpg,data\raw\images\fairface_0009539.jpg,1,Male_20-39_Light,audit_identity_0268,audit_identity_0268,audit
data\raw\images\fairface_0008913.jpg,data\raw\images\fairface_0008982.jpg,1,Female_20-39_Light,audit_identity_0094,audit_identity_0094,audit
data\raw\images\fairface_0006562.jpg,data\raw\images\fairface_0006885.jpg,1,Female_0-19_Light,audit_identity_0018,audit_identity_0018,audit
data\raw\images\fairface_0004435.jpg,data\raw\images\fairface_0004965.jpg,1,Female_40-59_Medium,audit_identity_0158,audit_identity_0158,audit
data\raw\images\fairface_0007902.jpg,data\raw\images\fairface_0008285.jpg,1,Female_0-19_Medium,audit_identity_0042,audit_identity_0042,audit
data\raw\images\fairface_0003682.jpg,data\raw\images\fairface_0004129.jpg,1,Male_0-19_Light,audit_identity_0191,audit_identity_0191,audit
data\raw\images\fairface_0005619.jpg,data\raw\images\fairface_0005633.jpg,1,Male_20-39_Dark,audit_identity_0234,audit_identity_0234,audit
data\raw\images\fairface_0001283.jpg,data\raw\images\fairface_0001329.jpg,1,Female_20-39_Medium,audit_identity_0104,audit_identity_0104,audit
data\raw\images\fairface_0006699.jpg,data\raw\images\fairface_0006700.jpg,1,Male_0-19_Medium,audit_identity_0218,audit_identity_0218,audit
data\raw\images\fairface_0004997.jpg,data\raw\images\fairface_0005115.jpg,1,Female_0-19_Light,audit_identity_0016,audit_identity_0016,audit
data\raw\images\fairface_0007201.jpg,data\raw\images\fairface_0007239.jpg,1,Female_20-39_Light,audit_identity_0087,audit_identity_0087,audit
data\raw\images\fairface_0002555.jpg,data\raw\images\fairface_0003314.jpg,1,Female_60+_Dark,audit_identity_0163,audit_identity_0163,audit
data\raw\images\fairface_0001376.jpg,data\raw\images\fairface_0002388.jpg,1,Male_0-19_Light,audit_identity_0188,audit_identity_0188,audit
data\raw\images\fairface_0008782.jpg,data\raw\images\fairface_0008885.jpg,1,Female_20-39_Medium,audit_identity_0139,audit_identity_0139,audit
data\raw\images\fairface_0000142.jpg,data\raw\images\fairface_0000636.jpg,1,Female_0-19_Light,audit_identity_0009,audit_identity_0009,audit
data\raw\images\fairface_0006993.jpg,data\raw\images\fairface_0007062.jpg,1,Male_20-39_Light,audit_identity_0262,audit_identity_0262,audit
data\raw\images\fairface_0000480.jpg,data\raw\images\fairface_0000931.jpg,1,Male_60+_Medium,audit_identity_0365,audit_identity_0365,audit
data\raw\images\fairface_0008751.jpg,data\raw\images\fairface_0009648.jpg,1,Male_40-59_Light,audit_identity_0334,audit_identity_0334,audit
data\raw\images\fairface_0006145.jpg,data\raw\images\fairface_0006338.jpg,1,Female_20-39_Medium,audit_identity_0126,audit_identity_0126,audit
data\raw\images\fairface_0000348.jpg,data\raw\images\fairface_0000655.jpg,1,Female_20-39_Light,audit_identity_0063,audit_identity_0063,audit
data\raw\images\fairface_0000655.jpg,data\raw\images\fairface_0000766.jpg,1,Female_20-39_Light,audit_identity_0063,audit_identity_0063,audit
data\raw\images\fairface_0002874.jpg,data\raw\images\fairface_0003059.jpg,1,Female_20-39_Medium,audit_identity_0110,audit_identity_0110,audit
data\raw\images\fairface_0001321.jpg,data\raw\images\fairface_0001430.jpg,1,Male_0-19_Medium,audit_identity_0205,audit_identity_0205,audit
data\raw\images\fairface_0008769.jpg,data\raw\images\fairface_0008904.jpg,1,Female_20-39_Light,audit_identity_0093,audit_identity_0093,audit
data\raw\images\fairface_0009602.jpg,data\raw\images\fairface_0009657.jpg,1,Female_20-39_Medium,audit_identity_0143,audit_identity_0143,audit
data\raw\images\fairface_0006859.jpg,data\raw\images\fairface_0006996.jpg,1,Female_0-19_Medium,audit_identity_0039,audit_identity_0039,audit
data\raw\images\fairface_0000066.jpg,data\raw\images\fairface_0000985.jpg,1,Male_0-19_Dark,audit_identity_0177,audit_identity_0177,audit
data\raw\images\fairface_0006291.jpg,data\raw\images\fairface_0006330.jpg,1,Male_20-39_Medium,audit_identity_0303,audit_identity_0303,audit
data\raw\images\fairface_0008559.jpg,data\raw\images\fairface_0008695.jpg,1,Female_20-39_Medium,audit_identity_0138,audit_identity_0138,audit
data\raw\images\fairface_0002366.jpg,data\raw\images\fairface_0002396.jpg,1,Male_20-39_Medium,audit_identity_0283,audit_identity_0283,audit
data\raw\images\fairface_0008846.jpg,data\raw\images\fairface_0008989.jpg,1,Male_20-39_Light,audit_identity_0267,audit_identity_0267,audit
data\raw\images\fairface_0003322.jpg,data\raw\images\fairface_0003794.jpg,1,Male_0-19_Light,audit_identity_0191,audit_identity_0191,audit
data\raw\images\fairface_0005513.jpg,data\raw\images\fairface_0005773.jpg,1,Female_0-19_Light,audit_identity_0017,audit_identity_0017,audit
data\raw\images\fairface_0006043.jpg,data\raw\images\fairface_0006205.jpg,1,Female_20-39_Light,audit_identity_0084,audit_identity_0084,audit
data\raw\images\fairface_0007012.jpg,data\raw\images\fairface_0008001.jpg,1,Male_60+_Light,audit_identity_0361,audit_identity_0361,audit
data\raw\images\fairface_0008439.jpg,data\raw\images\fairface_0008715.jpg,1,Female_60+_Medium,audit_identity_0175,audit_identity_0175,audit
data\raw\images\fairface_0003692.jpg,data\raw\images\fairface_0004553.jpg,1,Male_20-39_Dark,audit_identity_0232,audit_identity_0232,audit
data\raw\images\fairface_0008921.jpg,data\raw\images\fairface_0008957.jpg,1,Male_0-19_Medium,audit_identity_0223,audit_identity_0223,audit
data\raw\images\fairface_0001473.jpg,data\raw\images\fairface_0001483.jpg,1,Female_20-39_Medium,audit_identity_0105,audit_identity_0105,audit
data\raw\images\fairface_0003193.jpg,data\raw\images\fairface_0003583.jpg,1,Female_0-19_Light,audit_identity_0012,audit_identity_0012,audit
data\raw\images\fairface_0000806.jpg,data\raw\images\fairface_0000916.jpg,1,Male_20-39_Light,audit_identity_0240,audit_identity_0240,audit
data\raw\images\fairface_0005384.jpg,data\raw\images\fairface_0005565.jpg,1,Female_20-39_Light,audit_identity_0082,audit_identity_0082,audit
data\raw\images\fairface_0000176.jpg,data\raw\images\fairface_0000682.jpg,1,Male_20-39_Dark,audit_identity_0227,audit_identity_0227,audit
data\raw\images\fairface_0008486.jpg,data\raw\images\fairface_0009122.jpg,1,Female_0-19_Medium,audit_identity_0044,audit_identity_0044,audit
data\raw\images\fairface_0002292.jpg,data\raw\images\fairface_0002331.jpg,1,Female_20-39_Light,audit_identity_0069,audit_identity_0069,audit
data\raw\images\fairface_0004363.jpg,data\raw\images\fairface_0004490.jpg,1,Male_0-19_Dark,audit_identity_0180,audit_identity_0180,audit
data\raw\images\fairface_0004311.jpg,data\raw\images\fairface_0004508.jpg,1,Male_20-39_Medium,audit_identity_0295,audit_identity_0295,audit
data\raw\images\fairface_0008521.jpg,data\raw\images\fairface_0008558.jpg,1,Male_20-39_Medium,audit_identity_0315,audit_identity_0315,audit
data\raw\images\fairface_0002801.jpg,data\raw\images\fairface_0002810.jpg,1,Female_20-39_Light,audit_identity_0070,audit_identity_0070,audit
data\raw\images\fairface_0001485.jpg,data\raw\images\fairface_0001508.jpg,1,Male_20-39_Medium,audit_identity_0279,audit_identity_0279,audit
data\raw\images\fairface_0009268.jpg,data\raw\images\fairface_0009674.jpg,1,Male_40-59_Light,audit_identity_0334,audit_identity_0334,audit
data\raw\images\fairface_0005475.jpg,data\raw\images\fairface_0005635.jpg,1,Male_0-19_Medium,audit_identity_0215,audit_identity_0215,audit
data\raw\images\fairface_0000296.jpg,data\raw\images\fairface_0000347.jpg,1,Female_20-39_Medium,audit_identity_0100,audit_identity_0100,audit
data\raw\images\fairface_0005529.jpg,data\raw\images\fairface_0006023.jpg,1,Female_0-19_Dark,audit_identity_0005,audit_identity_0005,audit
data\raw\images\fairface_0000039.jpg,data\raw\images\fairface_0000261.jpg,1,Male_20-39_Light,audit_identity_0239,audit_identity_0239,audit
data\raw\images\fairface_0000588.jpg,data\raw\images\fairface_0000609.jpg,1,Male_20-39_Medium,audit_identity_0274,audit_identity_0274,audit
data\raw\images\fairface_0000905.jpg,data\raw\images\fairface_0000916.jpg,1,Male_20-39_Light,audit_identity_0240,audit_identity_0240,audit
data\raw\images\fairface_0003757.jpg,data\raw\images\fairface_0003918.jpg,1,Female_20-39_Light,audit_identity_0075,audit_identity_0075,audit
data\raw\images\fairface_0000085.jpg,data\raw\images\fairface_0000223.jpg,1,Female_20-39_Light,audit_identity_0061,audit_identity_0061,audit
data\raw\images\fairface_0001964.jpg,data\raw\images\fairface_0001978.jpg,1,Female_20-39_Dark,audit_identity_0050,audit_identity_0050,audit
data\raw\images\fairface_0003266.jpg,data\raw\images\fairface_0003385.jpg,1,Male_40-59_Dark,audit_identity_0324,audit_identity_0324,audit
data\raw\images\fairface_0007343.jpg,data\raw\images\fairface_0007572.jpg,1,Female_40-59_Medium,audit_identity_0161,audit_identity_0161,audit
data\raw\images\fairface_0001448.jpg,data\raw\images\fairface_0001822.jpg,1,Male_20-39_Dark,audit_identity_0229,audit_identity_0229,audit
data\raw\images\fairface_0000329.jpg,data\raw\images\fairface_0000666.jpg,1,Male_0-19_Medium,audit_identity_0202,audit_identity_0202,audit
data\raw\images\fairface_0008633.jpg,data\raw\images\fairface_0008770.jpg,1,Male_0-19_Dark,audit_identity_0184,audit_identity_0184,audit
data\raw\images\fairface_0006951.jpg,data\raw\images\fairface_0007018.jpg,1,Female_20-39_Medium,audit_identity_0130,audit_identity_0130,audit
data\raw\images\fairface_0007954.jpg,data\raw\images\fairface_0007975.jpg,1,Female_20-39_Light,audit_identity_0090,audit_identity_0090,audit
data\raw\images\fairface_0005347.jpg,data\raw\images\fairface_0005516.jpg,1,Male_40-59_Medium,audit_identity_0346,audit_identity_0346,audit
data\raw\images\fairface_0008901.jpg,data\raw\images\fairface_0008989.jpg,1,Male_20-39_Light,audit_identity_0267,audit_identity_0267,audit
data\raw\images\fairface_0002713.jpg,data\raw\images\fairface_0002833.jpg,1,Female_0-19_Medium,audit_identity_0030,audit_identity_0030,audit
data\raw\images\fairface_0009150.jpg,data\raw\images\fairface_0009323.jpg,1,Male_0-19_Light,audit_identity_0199,audit_identity_0199,audit
data\raw\images\fairface_0001376.jpg,data\raw\images\fairface_0002412.jpg,1,Male_0-19_Light,audit_identity_0188,audit_identity_0188,audit
data\raw\images\fairface_0000227.jpg,data\raw\images\fairface_0001005.jpg,1,Female_60+_Medium,audit_identity_0169,audit_identity_0169,audit
data\raw\images\fairface_0009378.jpg,data\raw\images\fairface_0009449.jpg,1,Male_20-39_Medium,audit_identity_0319,audit_identity_0319,audit
data\raw\images\fairface_0005015.jpg,data\raw\images\fairface_0005021.jpg,1,Male_20-39_Medium,audit_identity_0298,audit_identity_0298,audit
data\raw\images\fairface_0005707.jpg,data\raw\images\fairface_0006027.jpg,1,Female_20-39_Light,audit_identity_0083,audit_identity_0083,audit
data\raw\images\fairface_0003570.jpg,data\raw\images\fairface_0003586.jpg,1,Female_0-19_Medium,audit_identity_0033,audit_identity_0033,audit
data\raw\images\fairface_0003136.jpg,data\raw\images\fairface_0003191.jpg,1,Male_20-39_Medium,audit_identity_0288,audit_identity_0288,audit
data\raw\images\fairface_0006691.jpg,data\raw\images\fairface_0006859.jpg,1,Female_0-19_Medium,audit_identity_0039,audit_identity_0039,audit
data\raw\images\fairface_0000274.jpg,data\raw\images\fairface_0000856.jpg,1,Male_40-59_Light,audit_identity_0326,audit_identity_0326,audit
data\raw\images\fairface_0005536.jpg,data\raw\images\fairface_0005723.jpg,1,Female_20-39_Dark,audit_identity_0055,audit_identity_0055,audit
data\raw\images\fairface_0001169.jpg,data\raw\images\fairface_0001235.jpg,1,Female_20-39_Medium,audit_identity_0103,audit_identity_0103,audit
data\raw\images\fairface_0007828.jpg,data\raw\images\fairface_0007831.jpg,1,Male_20-39_Medium,audit_identity_0311,audit_identity_0311,audit
data\raw\images\fairface_0003987.jpg,data\raw\images\fairface_0004048.jpg,1,Female_20-39_Light,audit_identity_0077,audit_identity_0077,audit
data\raw\images\fairface_0005465.jpg,data\raw\images\fairface_0005565.jpg,1,Female_20-39_Light,audit_identity_0082,audit_identity_0082,audit
data\raw\images\fairface_0006740.jpg,data\raw\images\fairface_0006805.jpg,1,Male_20-39_Light,audit_identity_0261,audit_identity_0261,audit
data\raw\images\fairface_0001649.jpg,data\raw\images\fairface_0001767.jpg,1,Female_0-19_Light,audit_identity_0011,audit_identity_0011,audit
data\raw\images\fairface_0002668.jpg,data\raw\images\fairface_0002801.jpg,1,Female_20-39_Light,audit_identity_0070,audit_identity_0070,audit
data\raw\images\fairface_0001249.jpg,data\raw\images\fairface_0001278.jpg,1,Male_0-19_Light,audit_identity_0187,audit_identity_0187,audit
data\raw\images\fairface_0007117.jpg,data\raw\images\fairface_0007239.jpg,1,Female_20-39_Light,audit_identity_0087,audit_identity_0087,audit
data\raw\images\fairface_0004158.jpg,data\raw\images\fairface_0004279.jpg,1,Female_20-39_Medium,audit_identity_0116,audit_identity_0116,audit
data\raw\images\fairface_0000655.jpg,data\raw\images\fairface_0000746.jpg,1,Female_20-39_Light,audit_identity_0063,audit_identity_0063,audit
data\raw\images\fairface_0008278.jpg,data\raw\images\fairface_0008286.jpg,1,Female_20-39_Light,audit_identity_0091,audit_identity_0091,audit
data\raw\images\fairface_0000795.jpg,data\raw\images\fairface_0001006.jpg,1,Female_20-39_Dark,audit_identity_0049,audit_identity_0049,audit
data\raw\images\fairface_0002158.jpg,data\raw\images\fairface_0002609.jpg,1,Male_20-39_Light,audit_identity_0247,audit_identity_0247,audit
data\raw\images\fairface_0000497.jpg,data\raw\images\fairface_0000554.jpg,1,Male_20-39_Medium,audit_identity_0273,audit_identity_0273,audit
data\raw\images\fairface_0008875.jpg,data\raw\images\fairface_0008936.jpg,1,Male_60+_Light,audit_identity_0363,audit_identity_0363,audit
data\raw\images\fairface_0005707.jpg,data\raw\images\fairface_0005814.jpg,1,Female_20-39_Light,audit_identity_0083,audit_identity_0083,audit
data\raw\images\fairface_0005286.jpg,data\raw\images\fairface_0005352.jpg,1,Female_0-19_Medium,audit_identity_0036,audit_identity_0036,audit
data\raw\images\fairface_0006233.jpg,data\raw\images\fairface_0006459.jpg,1,Female_60+_Light,audit_identity_0167,audit_identity_0167,audit
data\raw\images\fairface_0008597.jpg,data\raw\images\fairface_0008769.jpg,1,Female_20-39_Light,audit_identity_0093,audit_identity_0093,audit
data\raw\images\fairface_0009041.jpg,data\raw\images\fairface_0009063.jpg,1,Male_20-39_Medium,audit_identity_0317,audit_identity_0317,audit
data\raw\images\fairface_0003298.jpg,data\raw\images\fairface_0003802.jpg,1,Female_0-19_Light,audit_identity_0012,audit_identity_0012,audit
data\raw\images\fairface_0006994.jpg,data\raw\images\fairface_0007963.jpg,1,Female_0-19_Light,audit_identity_0018,audit_identity_0018,audit
data\raw\images\fairface_0001008.jpg,data\raw\images\fairface_0003309.jpg,1,Female_40-59_Light,audit_identity_0149,audit_identity_0149,audit
data\raw\images\fairface_0008633.jpg,data\raw\images\fairface_0008710.jpg,1,Male_0-19_Dark,audit_identity_0184,audit_identity_0184,audit
data\raw\images\fairface_0004294.jpg,data\raw\images\fairface_0004424.jpg,1,Male_20-39_Light,audit_identity_0253,audit_identity_0253,audit
data\raw\images\fairface_0004172.jpg,data\raw\images\fairface_0005018.jpg,1,Male_60+_Light,audit_identity_0359,audit_identity_0359,audit
data\raw\images\fairface_0009309.jpg,data\raw\images\fairface_0009666.jpg,1,Female_0-19_Dark,audit_identity_0008,audit_identity_0008,audit
data\raw\images\fairface_0006711.jpg,data\raw\images\fairface_0006714.jpg,1,Male_20-39_Medium,audit_identity_0305,audit_identity_0305,audit
data\raw\images\fairface_0007525.jpg,data\raw\images\fairface_0007920.jpg,1,Female_20-39_Light,audit_identity_0089,audit_identity_0089,audit
data\raw\images\fairface_0007376.jpg,data\raw\images\fairface_0007529.jpg,1,Male_40-59_Medium,audit_identity_0349,audit_identity_0349,audit
data\raw\images\fairface_0008580.jpg,data\raw\images\fairface_0008667.jpg,1,Female_40-59_Light,audit_identity_0152,audit_identity_0152,audit
data\raw\images\fairface_0005152.jpg,data\raw\images\fairface_0005722.jpg,1,Female_60+_Light,audit_identity_0166,audit_identity_0166,audit
data\raw\images\fairface_0008425.jpg,data\raw\images\fairface_0008487.jpg,1,Male_20-39_Medium,audit_identity_0314,audit_identity_0314,audit
data\raw\images\fairface_0002130.jpg,data\raw\images\fairface_0002599.jpg,1,Male_60+_Medium,audit_identity_0367,audit_identity_0367,audit
data\raw\images\fairface_0007105.jpg,data\raw\images\fairface_0007118.jpg,1,Male_20-39_Medium,audit_identity_0307,audit_identity_0307,audit
data\raw\images\fairface_0000121.jpg,data\raw\images\fairface_0000223.jpg,1,Female_20-39_Light,audit_identity_0061,audit_identity_0061,audit
data\raw\images\fairface_0002303.jpg,data\raw\images\fairface_0003646.jpg,1,Female_60+_Medium,audit_identity_0171,audit_identity_0171,audit
data\raw\images\fairface_0004764.jpg,data\raw\images\fairface_0004785.jpg,1,Female_20-39_Light,audit_identity_0079,audit_identity_0079,audit
data\raw\images\fairface_0005384.jpg,data\raw\images\fairface_0005465.jpg,1,Female_20-39_Light,audit_identity_0082,audit_identity_0082,audit
data\raw\images\fairface_0004543.jpg,data\raw\images\fairface_0004865.jpg,1,Male_20-39_Light,audit_identity_0255,audit_identity_0255,audit
data\raw\images\fairface_0005376.jpg,data\raw\images\fairface_0005811.jpg,1,Male_60+_Medium,audit_identity_0372,audit_identity_0372,audit
data\raw\images\fairface_0002012.jpg,data\raw\images\fairface_0002053.jpg,1,Male_20-39_Light,audit_identity_0246,audit_identity_0246,audit
data\raw\images\fairface_0003322.jpg,data\raw\images\fairface_0004129.jpg,1,Male_0-19_Light,audit_identity_0191,audit_identity_0191,audit
data\raw\images\fairface_0004990.jpg,data\raw\images\fairface_0005015.jpg,1,Male_20-39_Medium,audit_identity_0298,audit_identity_0298,audit
data\raw\images\fairface_0002864.jpg,data\raw\images\fairface_0003002.jpg,1,Female_20-39_Light,audit_identity_0071,audit_identity_0071,audit
data\raw\images\fairface_0004068.jpg,data\raw\images\fairface_0005110.jpg,1,Female_0-19_Dark,audit_identity_0004,audit_identity_0004,audit
data\raw\images\fairface_0007348.jpg,data\raw\images\fairface_0008043.jpg,1,Female_20-39_Dark,audit_identity_0058,audit_identity_0058,audit
data\raw\images\fairface_0007106.jpg,data\raw\images\fairface_0007514.jpg,1,Male_0-19_Medium,audit_identity_0220,audit_identity_0220,audit
data\raw\images\fairface_0006208.jpg,data\raw\images\fairface_0006330.jpg,1,Male_20-39_Medium,audit_identity_0303,audit_identity_0303,audit
data\raw\images\fairface_0005475.jpg,data\raw\images\fairface_0005502.jpg,1,Male_0-19_Medium,audit_identity_0215,audit_identity_0215,audit
data\raw\images\fairface_0007191.jpg,data\raw\images\fairface_0007194.jpg,1,Female_20-39_Medium,audit_identity_0131,audit_identity_0131,audit
data\raw\images\fairface_0001436.jpg,data\raw\images\fairface_0001767.jpg,1,Female_0-19_Light,audit_identity_0011,audit_identity_0011,audit
data\raw\images\fairface_0009723.jpg,data\raw\images\fairface_0009976.jpg,1,Female_20-39_Dark,audit_identity_0060,audit_identity_0060,audit
data\raw\images\fairface_0003829.jpg,data\raw\images\fairface_0003918.jpg,1,Female_20-39_Light,audit_identity_0075,audit_identity_0075,audit
data\raw\images\fairface_0003267.jpg,data\raw\images\fairface_0003550.jpg,1,Female_0-19_Medium,audit_identity_0032,audit_identity_0032,audit
data\raw\images\fairface_0001858.jpg,data\raw\images\fairface_0002220.jpg,1,Male_0-19_Medium,audit_identity_0206,audit_identity_0206,audit
data\raw\images\fairface_0008212.jpg,data\raw\images\fairface_0008382.jpg,1,Male_40-59_Light,audit_identity_0333,audit_identity_0333,audit
data\raw\images\fairface_0008556.jpg,data\raw\images\fairface_0008701.jpg,1,Male_60+_Medium,audit_identity_0376,audit_identity_0376,audit
data\raw\images\fairface_0002427.jpg,data\raw\images\fairface_0002429.jpg,1,Female_0-19_Medium,audit_identity_0028,audit_identity_0028,audit
data\raw\images\fairface_0005718.jpg,data\raw\images\fairface_0005974.jpg,1,Male_20-39_Light,audit_identity_0257,audit_identity_0257,audit
data\raw\images\fairface_0001107.jpg,data\raw\images\fairface_0001278.jpg,1,Male_0-19_Light,audit_identity_0187,audit_identity_0187,audit
data\raw\images\fairface_0008122.jpg,data\raw\images\fairface_0008295.jpg,1,Male_20-39_Medium,audit_identity_0313,audit_identity_0313,audit
data\raw\images\fairface_0007506.jpg,data\raw\images\fairface_0007540.jpg,1,Male_20-39_Light,audit_identity_0264,audit_identity_0264,audit
data\raw\images\fairface_0003654.jpg,data\raw\images\fairface_0003749.jpg,1,Female_20-39_Light,audit_identity_0074,audit_identity_0074,audit
data\raw\images\fairface_0005063.jpg,data\raw\images\fairface_0005083.jpg,1,Male_20-39_Medium,audit_identity_0299,audit_identity_0299,audit
data\raw\images\fairface_0003626.jpg,data\raw\images\fairface_0004479.jpg,1,Female_40-59_Light,audit_identity_0150,audit_identity_0150,audit
